date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:53	117/117	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Apr%202021%2003:54:54%20GMT	https://opiat.es/robots.txt		(from )
00:54:55	1634/1634	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2023:27:37%20GMT	https://opiat.es/	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/index.html	(from )
00:54:55	3408/3408	---M--	200	added ('OK')	image/png	etag:%225fc6c852-d50%22	https://opiat.es/img/icon.png	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/img/icon.png	(from https://opiat.es/)
00:54:56	1216/1216	---MCZ	200	added ('OK')	text/css	etag:W/%225fc6c853-627%22	https://opiat.es/css/theme.css	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/css/theme.css	(from https://opiat.es/)
00:54:56	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/HP%20G42/Desktop/TELAS/opiate/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://opiat.es/)
00:54:59	1619/1619	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec5-653%22	https://cdnjs.cloudflare.com/ajax/libs/js-cookie/2.2.1/js.cookie.min.js	C:/Users/HP%20G42/Desktop/TELAS/opiate/cdnjs.cloudflare.com/ajax/libs/js-cookie/2.2.1/js.cookie.min.js	(from https://opiat.es/)
00:54:59	553/553	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc6c852-2e5%22	https://opiat.es/js/dark.js	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/js/dark.js	(from https://opiat.es/)
00:55:00	123/123	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2025%20Apr%202021%2003:55:01%20GMT	https://opiat.es/%20	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/	(from https://opiat.es/)
00:55:00	27350/27350	---M--	200	added ('OK')	image/jpeg	etag:%225fc6c852-6ad6%22	https://opiat.es/img/image.jpg	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/img/image.jpg	(from https://opiat.es/)
00:55:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20Apr%202021%2003:55:01%20GMT	https://opiat.es/haunt	C:/Users/HP%20G42/Desktop/TELAS/opiate/opiat.es/haunt	(from https://opiat.es/)
